name,price,brand,operating_system,ram,cpu_model,cpu_speed,ratings_count,url
SAMSUNG Galaxy S25+ Cell Phone 256GB AI Smartphone Unlocked Android AI Camera Fast Processor ProScaler Display Long Battery Life 2025 Mint (Renewed),,Samsung,Android,12 GB,Snapdragon,4.47 GHz,(341),https://www.amazon.com/SAMSUNG-Smartphone-Unlocked-Processor-ProScaler/dp/B0F3B9MQZQ/ref=sr_1_131?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770307&sr=8-131&th=1
SAMSUNG Galaxy S21 128GB Grey New Factory Unlocked,,Samsung,Android 11.0,8 GB,1.2GHz Cortex A13 Processor,3.4 GHz,(64),https://www.amazon.com/SAMSUNG-Galaxy-128GB-Factory-Unlocked/dp/B0C1HRF327/ref=sr_1_130?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-130
Samsung Tracfone Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,,Samsung,Android 11.0,3 GB,1.2GHz Cortex A8 Processor,2.3 GHz,(476),https://www.amazon.com/Tracfone-Samsung-5000mAh-Battery-Infinity-V/dp/B0CHK6LWKZ/ref=sr_1_129?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-129
SAMSUNG Galaxy S22 5G SM-S901B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Phantom Black),,Samsung,Android 12.0,8 GB,Qualcomm Snapdragon MSM8260A,,(359),https://www.amazon.com/SAMSUNG-SM-S901B-Factory-Unlocked-Smartphone/dp/B09QLCJS8K/ref=sr_1_128?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-128
SAMSUNG Galaxy S25 Ultra 256GB 12GB RAM AI Smartphone Factory Unlocked Global Model - Titanium Gray (Renewed),,Samsung,Android,12 GB,Snapdragon,3.5 GHz,(47),https://www.amazon.com/SAMSUNG-Galaxy-Smartphone-Factory-Unlocked/dp/B0F38X8HJC/ref=sr_1_127?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-127
Samsung Galaxy S23 FE Factory Unlocked 128GB - Purple (Renewed),,Samsung,Android,8 GB,Snapdragon,2.5 GHz,(62),https://www.amazon.com/Samsung-Galaxy-S23-FE-Unlocked/dp/B0CXJL4843/ref=sr_1_126?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-126
SAMSUNG Galaxy S22+ Plus 5G (128GB 8GB) 6.2 AMOLED 50MP Camera Volte (Fully Unlocked for AT&T Verizon T-Mobile Global) S906U1 US Model (w/ 25W Super Fast Charge Cube Phantom Black) (Renewed),,Samsung,Android,8 GB,Snapdragon 8 Gen1,2.8 GHz,(106),https://www.amazon.com/SAMSUNG-Unlocked-Verizon-T-Mobile-Phantom/dp/B0BSNVNV7H/ref=sr_1_125?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-125
Samsung Galaxy A35 5G (256GB + 8GB) (for Tmobile Mint Tello & Global) GSM Unlocked SM-A356E/DS 6.6 120Hz 50MP Triple (Awesome Iceblue),,Samsung,Android,8 GB,Exynos 1380 S5E8835,2 GHz,(136),https://www.amazon.com/Samsung-A35-Tmobile-Unlocked-SM-A356E/dp/B0D5RMS279/ref=sr_1_124?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770301&sr=8-124&th=1
Samsung Galaxy A17 4G Ai (128GB + 4GB) Unlocked (Compatible only with T-Mobile Mint Tello & Global) SM-A175F/DS Dual Sim Warranty Latin America 6.7 50MP Triple (Light Blue SM-A175FLBFGTO),,Samsung,Android 15,8 GB,MediaTek Helio,2.2 GHz,(15),https://www.amazon.com/Samsung-Compatible-SM-A175F-DS-SM-A175FLBFGTO/dp/B0FRN7T6R2/ref=sr_1_123?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770301&sr=8-123&th=1
Samsung Galaxy S20 Ultra 5G (128GB 12GB RAM) 6.9 AMOLED 2X Snapdragon 865 108MP Quad Camera Global 5G Volte (GSM+CDMA) AT&T Unlocked (T-Mobile Verizon Global Metro) G988U,,Samsung,Android 10.0,12 GB,Snapdragon,"1.8, 2.4, 2.8 GHz",(78),https://www.amazon.com/Samsung-Snapdragon-Unlocked-T-Mobile-Verizon/dp/B085PQ5T2T/ref=sr_1_122?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-122
Samsung Galaxy S22+ Smartphone Factory Unlocked Android Cell Phone 256GB 8K Camera & Video Brightest Display Long Battery Life Fast 4nm Processor US Version Phantom Black (Renewed),,Samsung,Android,8 GB,Snapdragon 8 Gen1,3 GHz,(298),https://www.amazon.com/Samsung-Smartphone-Unlocked-Brightest-Processor/dp/B09VFNKSSV/ref=sr_1_121?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-121
Samsung Galaxy A53 5G A Series Cell Phone Factory Unlocked Android Smartphone 128GB 6.5” FHD Super AMOLED Screen Long Battery Life US Version Black (Renewed),,Samsung,Android,6 GB,Exynos 1280,2 GHz,(771),https://www.amazon.com/SAMSUNG-Smartphone-Unlocked-Android-Battery/dp/B09XP9FX25/ref=sr_1_120?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-120
Samsung Galaxy S25 Edge Phone 256 GB AI Smartphone Unlocked Android Night Video Fast Processor ProScaler Display All-Day Battery 2025 US 1 Yr Manufacturer Warranty Titanium JetBlack (Renewed),,Samsung,"Android 15, One UI 7",12 GB,Snapdragon 8 Elite,,(59),https://www.amazon.com/Samsung-S25-Edge-Smartphone-Manufacturer/dp/B0FHJ65TGS/ref=sr_1_119?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770301&sr=8-119&th=1
Samsung Galaxy J3 J327 (2017) 4G LTE Unlocked Smartphone 16GB Storage 2GB RAM Black (Renewed),,Samsung,Android 7.0,2 GB,1.2GHz Cortex A13 Processor,1.4 GHz,(1),https://www.amazon.com/Samsung-Unlocked-Smartphone-Storage-Renewed/dp/B0FTF1S7K6/ref=sr_1_118?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-118
SAMSUNG Galaxy S25 SM-S931B/DS 256GB 12GB RAM AI Smartphone Factory Unlocked Global Model - Silver Shadow,,Samsung,"Android 15, One UI 7",12 GB,Snapdragon,4.47 GHz,(36),https://www.amazon.com/SAMSUNG-SM-S931B-Smartphone-Factory-Unlocked/dp/B0DV4565FW/ref=sr_1_117?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770301&sr=8-117&th=1
SAMSUNG Galaxy S23 Ultra 5G Factory Unlocked 512GB - Cream (Renewed),,Samsung,Android,12 GB,Snapdragon,3.36 GHz,(90),https://www.amazon.com/SAMSUNG-Galaxy-Ultra-Factory-Unlocked/dp/B0C51KT5SC/ref=sr_1_116?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-116
SAMSUNG Galaxy S20+ 5G (128GB 12GB) 6.7 120Hz AMOLED Snapdragon 865 IP68 Water-Resistant Fully Unlocked US Model (AT&T Verizon T-Mobile Global) SM-G986U1 (w/Fast Wireless Charge Pad Black),,Samsung,Android 10.0,12 GB,Snapdragon,2.84 GHz,(445),https://www.amazon.com/Snapdragon-Water-Resistant-Unlocked-T-Mobile-SM-G986U1/dp/B09TN9RXFW/ref=sr_1_115?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770301&sr=8-115&th=1
Samsung Galaxy S22+ Plus 5G US Version 256GB White - AT&T (Renewed),,Samsung,Android,8 GB,Snapdragon S5,,(5),https://www.amazon.com/SAMSUNG-S22-PLUS-256GB-WHITE/dp/B0BV7GX6SX/ref=sr_1_114?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-114
SAMSUNG Galaxy A36 5G 2025 | 128GB 6GB | 6.7 AMOLED Android 15 US Version Unlocked for Verizon T-Mobile Global | Awesome Black (Renewed),,,,,,,(42),https://www.amazon.com/SAMSUNG-Android-Version-Unlocked-T-Mobile/dp/B0FHM3J8NM/ref=sr_1_113?dib=eyJ2IjoiMSJ9.n0QZuUpUpcaCIhMzRpR3YgDmAbiM2i_ylLi7M_-EnMDYdmobLeVzCFMLWwu3XMsFtukY1myZ06fP2JX7b98SsxxRqpRXpLXtcSuxkZwpFxTPRCWXA6ET_opfmvZHH8VG_B-p0bWRFcDw9Ppooe4xgRKzVrqlSTcyPn-hyoysBiaBe8cuyaZpHkCCsz-tDmY0JahPHGCuyuvZ71K1SPoGXxPgzkfLYg871SYInKPR1ik.fGTEk0UEWjCEULdFispKVZFUBqvTCgvG-3IWP9EmAh8&dib_tag=se&keywords=samsung+phone&qid=1774770301&sr=8-113
Samsung Galaxy S21 5G US Version 128GB Phantom Gray - T-Mobile (Renewed),,Samsung,Android 11.0,8 GB,Snapdragon S1,2.8 GHz,(631),https://www.amazon.com/SAMSUNG-Galaxy-Version-128GB-Phantom/dp/B0931V6S29/ref=sr_1_112?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-112
Samsung Galaxy S23 FE AI Cell Phone 128GB Unlocked Android Smartphone Long Battery Life Premium Power Processor Tough Gorilla Glass Display Hi-Res 50MP Camera US Version 2023 Graphite,,Samsung,"Android 13.0, One UI",8 GB,Snapdragon 8 Gen1,3 GHz,(1579),https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Processor-Graphite/dp/B0CD9645MM/ref=sr_1_111?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-111
Samsung Galaxy S24 Ultra 5G US Version 256GB Titanium Gray - Unlocked (Renewed),,Samsung,Android,12 GB,Snapdragon,3.39 GHz,(1516),https://www.amazon.com/SAMSUNG-Galaxy-Ultra-Version-Titanium/dp/B0D4RCLGVJ/ref=sr_1_110?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung%2Bphone&qid=1774770295&sr=8-110&th=1
Samsung Galaxy Z Flip7 Cell Phone 256GB AI Smartphone Unlocked Android Long Battery Life 2025 US Version Jet Black (Renewed),,Samsung,"Android 16, OneUI 8",,Snapdragon 8 Gen3,,(32),https://www.amazon.com/Samsung-Flip7-Smartphone-Unlocked-Android/dp/B0FPGRLJF7/ref=sr_1_109?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung%2Bphone&qid=1774770295&sr=8-109&th=1
Samsung Galaxy S20 5G (128GB 12GB RAM) 6.2 AMOLED Snapdragon 865 IP68 Water Resistant Global 5G Volte (GSM + CDMA) Factory Unlocked (AT&T Verizon T-Mobile Metro) G981U1 (Cloud Blue),,Samsung,Android 10.0,12 GB,Snapdragon,2.84 GHz,(94),https://www.amazon.com/Galaxy-S20-5G-Snapdragon-Resistant/dp/B08XYDQQGX/ref=sr_1_108?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-108
G920A,,Samsung,Android,32 GB,1.2GHz Cortex A8 Processor,1.5 GHz,(1704),https://www.amazon.com/Samsung-Galaxy-S6-Black-Sapphire/dp/B00V5LZXCS/ref=sr_1_107?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung%2Bphone&qid=1774770295&sr=8-107&th=1
SAMSUNG Galaxy A15 5G A Series Cell Phone AMOLED Display Expandable Storage Knox Security US Version 2024 Blue Black for T-Mobile only (Renewed),,Samsung,Android 13.0,128 GB,Mediatek Dimensity 900,2.2 GHz,(135),https://www.amazon.com/SAMSUNG-Display-Expandable-Security-T-Mobile/dp/B0DMCTB8GK/ref=sr_1_106?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-106
Samsung Galaxy S22+ Plus 5G US Version 256GB Pink Gold - Unlocked (Renewed),,Samsung,Android,8 GB,Snapdragon,2.5 GHz,(243),https://www.amazon.com/SAMSUNG-Galaxy-S22-Unlocked-SM-S906U1/dp/B0B6D42P2F/ref=sr_1_105?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-105
SAMSUNG Galaxy S24 FE AI Phone 128GB Android Smartphone High-Res 50MP Camera Long Battery Life Brighter Display Screen AT&T 2024 Graphite (Renewed),,Samsung,Android,8 GB,Exynos 2400E,3.1 GHz,(102),https://www.amazon.com/SAMSUNG-Smartphone-High-Res-Brighter-Graphite/dp/B0DVDF25P6/ref=sr_1_104?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung%2Bphone&qid=1774770295&sr=8-104&th=1
